team,conference,division,rating,inaugural_season,points
Toronto Maple Leafs,Clarence Campbell,Norris,1500,1917,99
Montreal Canadiens,Prince of Wales,Adams,1500,1917,102
Boston Bruins,Prince of Wales,Adams,1500,1924,109
Detroit Red Wings,Clarence Campbell,Norris,1500,1926,103
Buffalo Sabres,Prince of Wales,Adams,1400,1970,86
Ottawa Senators,Prince of Wales,Adams,1400,1992,24
Tampa Bay Lightning,Clarence Campbell,Norris,1400,1992,53
New York Rangers,Prince of Wales,Patrick,1500,1926,79
Pittsburgh Penguins,Prince of Wales,Patrick,1400,1967,119
Philadelphia Flyers,Prince of Wales,Patrick,1400,1967,83
New York Islanders,Prince of Wales,Patrick,1400,1972,87
Washington Capitals,Prince of Wales,Patrick,1400,1974,93
New Jersey Devils,Prince of Wales,Patrick,1400,1974,87
Hartford Whalers,Prince of Wales,Adams,1400,1979,58
Chicago Blackhawks,Clarence Campbell,Norris,1500,1926,106
Minnesota North Stars,Clarence Campbell,Norris,1400,1967,82
St. Louis Blues,Clarence Campbell,Norris,1400,1967,85
Quebec Nordiques,Prince of Wales,Adams,1400,1979,104
Los Angeles Kings,Clarence Campbell,Smythe,1400,1967,88
Vancouver Canucks,Clarence Campbell,Smythe,1400,1970,101
Calgary Flames,Clarence Campbell,Smythe,1400,1972,97
Winnipeg Jets,Clarence Campbell,Smythe,1400,1979,87
Edmonton Oilers,Clarence Campbell,Smythe,1400,1979,60
San Jose Sharks,Clarence Campbell,Smythe,1400,1991,24
Anaheim Ducks,NA,NA,1400,1993,NA
Vegas Golden Knights,NA,NA,1400,2017,NA
Ottawa Senators (1st),NA,NA,1500,1917,NA
Montreal Wanderers,NA,NA,1500,1917,NA
New York Americans,NA,NA,1500,1925,NA
Montreal Maroons,NA,NA,1500,1924,NA
Pittsburgh Pirates,NA,NA,1500,1925,NA
Cleveland Barons,NA,NA,1400,1967,NA
Florida Panthers,NA,NA,1400,1993,NA
Nashville Predators,NA,NA,1400,1998,NA
Winnipeg Jets(New),NA,NA,1400,1999,NA
Minnesota Wild,NA,NA,1400,2000,NA
Columbus Blue Jackets,NA,NA,1400,2000,NA
